title,link,intro,objective,outline
CET130 Traditional Chinese Medicine for Older Adults,https://www.ntu.edu.sg/pace/programmes/detail/cet130-traditional-chinese-medicine-for-older-adults,Introduction Chinese medicine has long been used as a complementary treatment for long term diseases and general health maintenance This course explores the fundamentals of Chinese Medicine (TCM) and its application to health and wellness of older people Emphasis will be on age related issues and illnesses such as hypertension diabetes cerebro vascular diseases and Alzheimer's disease The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing,1 Understand the key concepts of TCM2. Explain how major TCM organ systems function and how they become dys regulated with age 3 Understand the fundamental theory of TCM and its application in managing the geriatric diseases 4 Describe the various treatments in TCM,Fundamental theory of TCM Zan g organs theory and TCM etiology TCM diagnostics Overview of TCM geriatrics TCM management of geriatric diseases ITCM management of geriatric diseases IITCM food therapy for ageing
CET131 Research Methods for Ageing,https://www.ntu.edu.sg/pace/programmes/detail/cet131-research-methods-for-ageing,Introduction This course will provide an overview of the different qualitative and quantitative methods and tools available for ageing research Students will gain a broad conceptual understanding of the various methods and gain practical experience on using the method for conducting research on topics related to older persons The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing,1 Describe various quantitative and quantitative research approaches in gerontology 2 Explain key foundational concepts in quantitative and qualitative research 3 Apply knowledge of the methods to design studies and analyze data 4 Write quantitative and qualitative reports,Theoretical Foundation of Qualitative Research in Gerontology Qualitative Approaches and Interviews Focus Groups and Role Play Assimilating and Reporting Qualitative Research Foundation of Quantitative Research in Gerontology Quantitative research designs in gerontology Survey Data Collection and Analyses Assimilating and Reporting Qualitative Research
CET132 Theories in Medical Sociology,https://www.ntu.edu.sg/pace/programmes/detail/cet132-theories-in-medical-sociology,Introduction The course will cover some of the most dominant theories in the field of medical sociology Theories covered in the course include but not limited to fundamental cause theory gender theory cumulative disadvantages theory stress process theory labeling theory social capital theory Course materials will deal with theoretical views about social patterns processes and outcomes as well as the relevance of social contexts for contributing to health outcomes The course will also examine how these theories are used and applied in research on medical sociology Thus this course may equip students with theoretical tools to understand the dynamics of health and society and at the same time enhance the ability of students to conduct their own research on medical sociology The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Understand the concepts and theories of medical sociology Evaluate and critique the major theoretical perspectives in sociology of health Apply theoretical research from the sociology of health in order to devise solutions designed at addressing health issues in society,Fundamental cause theory Gender theory Weathering hypothesis Latino health paradox Healthy immigrant effect hypothesis Cumulative d is advantages theory Social capital theory Stress process theory Labeling theory Identity theory Healthy lifestyle theory Inequality theory
"CET133 Work, Stress, and Health",https://www.ntu.edu.sg/pace/programmes/detail/cet133-work-stress-and-health,Introduction The Work Stress and Health will examine the ways that individual occupational and contextual conditions of work are associated with stress health and wellbeing While the course materials draw mostly from sociological theory and research we will also draw from the richness of other disciplines especially occupational and organizational psychology Course materials will cover debates about the conceptualization and measurement of job qualities and conditions we will also focus on social patterns processes and outcomes as well as the relevance of social contexts for contributing to disparities in health and well being This course may equip students with analytical tools to understand the dynamics of job stress and worker well being Finally this course will help students maintain good well being while working in the workplace eli gion and public health are related in one sense because religion is a factor among many others in the social environment that determine the health of populations Moreover religion has a role in the ways that healthcare systems are organized to care for individuals families and communities Therefore it would be important to examine the ways that religion influences public health In this course students will enhance their knowledge about background concepts theory and or methods about this topic In addition students will be introduced to the process of formulating important social research questions and criticizing scholarly works The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,1 Understand the concepts theories and methods of sociology of work and job stress 2 Evaluate and critique the major theoretical perspectives on stress and work stress 3 Apply theoretical research from the sociology of work and organizations in order to devise solutions designed at alleviating work stress,Introduction and Overview Theoretical Frameworks JD-C and JD-R Models Job Demands I: Pace Pressure and Intensification Job Demands II: Under Reward and Unfair Pay Job Demands III: In security Job Demands IV: Macro Economic Factors Job Control I: Decision Latitude Job Control II: Authority Job Control III: Schedule Control Flexibility Communication Technologies Demand or Resource Overtime Culture Long Hours Hours Mismatch Work Family Conflict Applications and Extensions
CET134 Religion and Public Health,https://www.ntu.edu.sg/pace/programmes/detail/cet134-religion-and-public-health,Introduction Religion and public health are related in one sense because religion is a factor among many others in the social environment that determine the health of populations Moreover religion has a role in the ways that healthcare systems are organized to care for individuals families and communities Therefore it would be important to examine the ways that religion influences public health In this course students will enhance their knowledge about background concepts theory and or methods about this topic In addition students will be introduced to the process of formulating important social research questions and criticizing scholarly works The Religion and Public Health will examine the ways that religious practices beliefs and institutions are associated with public health The course will deal with background concepts theory and or methods that deal with the link between religion and health In particular four themes will be covered 1 the health consequences of religious practices beliefs andinstitutions 2 various theoretical mechanisms via which religion influences public health 3 subgroup variations in the link between religion and public health and 4 the role of social context in shaping the relationship between religion and public health The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,1 Understand the social determinants of health perspective and the role of religion in it 2 Evaluate and critique the major theoretical perspectives on religion and health 3 Think analytically about research questions measurement of concepts and appropriate data sources,Introduction and Overview Religious attendance and public health Prayer and public health Religious belief and public health Religious denomination and public health Dark side of religion and public health Religion and health behavior Religion and health from life course perspectives Subgroup variations in the link between religion and health Religious context and public health Islam and public health
CET135 Communicating Complexity Part 1: Tackling communication barriers,https://www.ntu.edu.sg/pace/programmes/detail/cet135-communicating-complexity-part-1-tackling-communication-barriers,Introduction Communicating Complexity is a series of three linked courses in which students will have the opportunity to practice a number of skills and techniques aimed at helping them to communicate complex ideas in ways that are easier to understand and can be tailored to different audiences The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Students will become familiar with a variety of perspectives on barriers to effective communication tools for evaluating the effectiveness of communication and techniques for improving the effectiveness of communication of complex technical information Students will practice application of techniques and tools until they achieve competence to a professional standard in the use of communication tools and techniques in two compulsory modules and some number of electives Students will demonstrate mastery of communicating complexity in a project where they apply skills and techniques covered in the different modules,In Part 1 Tackling communication barriers students will learn about psychological processes that create barriers to effective communication and learn hands on techniques for tackling these barriers Students will demonstrate mastery in tackling communication barriers through an individual project in the form of report on a published article for a public audience
CET136 Communicating Complexity Part 2: Data Visualization,https://www.ntu.edu.sg/pace/programmes/detail/cet136-communicating-complexity-part-2-data-visualization,Introduction Communicating Complexity is a series of three linked courses in which students will have the opportunity to practice a number of skills and techniques aimed at helping them to communicate complex ideas in ways that are easier to understand and can be tailored to different audiences Students may benefit from completing Communicating Complexity Part 1 Tackling communication barriers before starting Part 2 The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Students will become familiar with a variety of perspectives on barriers to effective communication tools for evaluating the effectiveness of communication and techniques for improving the effectiveness of communication of complex technical information Students will practice application of techniques and tools until they achieve competence to a professional standard in the use of communication tools and techniques in two compulsory modules and some number of electives Students will demonstrate mastery of communicating complexity in a project where they apply skills and techniques covered in the different modules,In Part 2 Data Viz u aliz ation students will learn basic technical terminology for describing different kinds of figures charts and graphics as well as fundamentals of image handling for a variety of publication types Students will practice creating figures of different kinds and applying style guides in different ways Students will demonstrate mastery in data visualization through an individual project in the form of an info graphic for as public audience
CET137 Communicating Complexity Part 3: Communicating for different audiences,https://www.ntu.edu.sg/pace/programmes/detail/cet137-communicating-complexity-part-3-communicating-for-different-audiences,Introduction Communicating Complexity is a series of three linked courses in which students will have the opportunity to practice a number of skills and techniques aimed at helping them to communicate complex ideas in ways that are easier to understand and can be tailored to different audiences Students may benefit from completing Communicating Complexity Part 1 Tackling communication barriers and Communicating Complexity Part 2 Data visualization before starting Part 3 The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Students will become familiar with a variety of perspectives on barriers to effective communication tools for evaluating the effectiveness of communication and techniques for improving the effectiveness of communication of complex technical information Students will practice application of techniques and tools until they achieve competence to a professional standard in the use of communication tools and techniques in two compulsory modules and some number of electives Students will demonstrate mastery of communicating complexity in a project where they apply skills and techniques covered in the different modules,In Part 3 Communicating for Different Audiences students will learn core concepts and techniques for preparing text for different formats and strategies for communicating complex information in a variety of publication types Students will practice creating materials for different audiences Students will demonstrate mastery in communicating for different audiences through a project where complex information is created for a specific audience with a reflection on how the different strategies support communication for the particular audience
CET138 Big Data and Computational Social Science,https://www.ntu.edu.sg/pace/programmes/detail/cet138-big-data-and-computational-social-science,Introduction Big Data presents unprecedented opportunities to study human behaviour on a very large scale It has been increasingly used in social science to reveal individual differences and group dynamics This course will introduce students to new methods of using computational tools and Big Data to conduct social science research This course introduces students to research methods in computational social sciences Topics include characteristics of Big Data collecting and analyzing online data running online field experiments etc The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,After this course students should be able to 1 Describe the opportunities and challenges for social science in this digital age 2 Identify social science research questions that can be addressed by computational methods and big data 3 Apply techniques such as text mining and online experiments to answer social science research questions,1 Introduction and Characteristics of Big Data This lecture will cover key features of Big Data such as always on incomplete non representative and drifting to help students understand the pros and cons of Big Data 2 Collecting and analyzing online data This lecture will cover strategies for utilizing Big Data in social science such as counting forecasting now casting and matching 3 Running online experiments and field studies This lecture will discuss methods and issues for running online experiments Topics include lab vs field analog vs digital validity and heterogeneity 4 Human computation and ethics This lecture will discuss how to create mass online collaboration using human computation open call and distributed data collection It will also discuss new ethical challenges in handling digital age social research
CET139 Qualitative interviewing,https://www.ntu.edu.sg/pace/programmes/detail/cet139-qualitative-interviewing,Introduction Designing and conducting interviews are skills that are useful not just for social researchers but across a range of sectors and roles This course gives a quick introduction to the method and practical hands on experience in designing and conducting interviews The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Students will be able to design and undertake qualitative interviews,Introduction objectives epistemology ethics Interviews I: Diff types of interviews sampling recruitment crafting questions Interviews II: Establishing rapport pacing photo eli citation and photo diary Analysis Coding and presenting your data
CET140 Applied Research Methods in Social Sciences,https://www.ntu.edu.sg/pace/programmes/detail/cet140-applied-research-methods-in-social-sciences,Introduction The course introduces the qualitative and quantitative approaches to conducting research examines the ethical issues concerning social science research and places an emphasis on formulating a coherent research proposal The course is part of Graduate Certificate in Health and Ageing Mini Master sTM in Health and Ageing Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,Use appropriate keywords or database to search the literature Appraise literature relevant to a research topic or question Write a well structured literature review Explain the differences between primary and secondary data Identify useful sources of publicly available quantitative and qualitative data,Introduction Literature Review Secondary Data Analysis Survey Designs Quantitative Research Ethics
CET141 Social Psychology,https://www.ntu.edu.sg/pace/programmes/detail/cet141-social-psychology,Introduction This course is a broad overview of social psychology the scientific study of thought and behavior in response to the social world Using the Outcome Based Teaching and Learning (OBTL) approach as the backbone this course will benefit you by highlighting the basic psychological principles that shape the ways you make sense of yourselves other people and the world You will learn the major theories and empirical findings on topics that are central to everyday life such as obedience pro social behaviors and romantic attraction Through the scope of social psychology you will learn that numerous social phenomena can be traced back to a subset of social cognitive principles that guide the human mind You will learn how human thinking and behaviors are influenced by various social contexts from group membership and interpersonal relationships to society and culture Finally you will receive progressive training on theoretical thinking critical reasoning and methodological designs More broadly this course is in deep connections with other key courses of the program such as Introduction to Psychology Cognitive Psychology Social Cognition Developmental Psychology Human Motivation Laboratory in Social Psychology Fundamentals of Social Science Research and Research Design and Data Analysis in Psychology The course forms part of the foundational training on psychological knowledge research capability theoretical reasoning and critical thinking The course is part of Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,By the end of this course you should be able to 1 describe basic theories of social psychology 2 identify compare and contrast the conceptual properties of basic frameworks in social psychology 3 explain social phenomena in real life with basic frameworks in social psychology 4 think critically and scientifically about social phenomena,Introduction and Methods of Social Psychology Social Cognition Social Perception The Self Cognitive Dissonance Conformity Pro social Behaviors Aggression
CET142 Hip-Hop and Islam: A Sociology of Generations Perspective,https://www.ntu.edu.sg/pace/programmes/detail/cet142-hip-hop-and-islam-a-sociology-of-generations-perspective,Introduction This course takes on two of the most important topics in contemporary times global Islam and global hip hop Hip hop culture has been deemed the most important youth culture in the world today according to many sources Despite its transnational reach hip hop is at the same time complex in its practices reflecting the environments in which it is produced Islam is also the most debated religion in mainstream media and political circles The course will analyse the social political religious and legal impact of the interactions between Islam and hip hop Using sociological lens we will probe the major controversies surrounding the appropriation of hip hop by young Muslims over the last five decades Through the use of academic writings music and documentaries this course will explore how the interaction between Islam and hip hop has led to profound social change The course is part of Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,1 Describe the socio political cultural and historical contexts of the fusion between hip hop and Islam 2 Analyze power relationships and social governance to evaluate social statuses such as piety ethnicity gender and social class 3 Explore the field of comparative sociology and be able to compare policy responses and social norms of different countries across space and time with regards to evolving understandings of religion,Islam and the Hip Hop Generation Authentically Islam Authentically Hip Hop Islam Hip Hop and Human Rights Women in Hip Hop State Management of Hip Hop Consumption and Com modification
CET143 Politics of Science and Technology,https://www.ntu.edu.sg/pace/programmes/detail/cet143-politics-of-science-and-technology,Introduction Science and technology form the substrate of our modern lives Leaders routinely use science to guide and justify policy making Technology is an intimate part of our participation in society from high technologies like the tablets and apps we use to the simple benches we s it in on the park This module draws our attention to this background that we do not always notice Who makes these technologies and produces scientific knowledge What counts as expertise and objective knowledge What kinds of social and political values might be found in the design of technologies The course is part of Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,By considering the politics of designing and implementing technologies students will learn to think twice about the technologies that tend to recede into the background to consider the purposes of such technologies and what kinds of values might be found in them By considering how scientific knowledge is created students will learn that the social institutions in which science is undertaken shape what kind of knowledge is produced and how it is used in policy making in different contexts Ultimately students will know they do not have to be passive consumers of science and technology and that they too can be co producers,Theories of scientific knowledge production including situated knowledge s Theories of the how technological artifacts have politics and the inequalities they can produce Case studies in everyday technologies medicine energy social media genetic engineering international development surveillance military citizen science and activism
CET144 Governing Social Resilience,https://www.ntu.edu.sg/pace/programmes/detail/cet144-governing-social-resilience,Introduction This course aims to give a short introduction to resilience studies focusing on how communities and institutions develop capacity to withstand disaster and disturbance and bounce back from crisis It examines how some societies are more resilient and others less resilient It draws on advanced theories of risk and resilience from sociology anthropology and history Students will learn how to apply these theories in disaster governance and crisis management The course is part of Graduate Certificate in Social Sciences Mini Master sTM in Social Sciences,1 To be able to identify key factors that enhance social resilience 2 To be able to develop generic strategy to respond to crisis and disturbance,Introduction to Disaster Studies Disaster as Social Phenomenon Crisis and Disaster Risk Systems and Vulnerability Understanding Resilience What is Resilience Whose Resilience Socio technical Resilience Governing Resilience
CET315 Principles of Solid-State Electronic Devices,https://www.ntu.edu.sg/pace/programmes/detail/cet315-principles-of-solid-state-electronic-devices,Introduction This course aims to teach student the working principles of major solid state devices such as memory and transistor that available as advanced manufacturing in Singapore s micro electronic industry This course is part of Graduate Certificate in Precision Instrumentation Mini Master sTM in Precision Instrumentation,On completion of the course the learners will have a good understanding of the working principles of semiconductor devices Learners will learn the main functionality and applications of the devices and they will be able to use devices correctly in advanced manufacturing industry or design of experiments in R&D.,"Quantitative understanding and analysis of semiconductor physics including electronic band structures charge carrier concentrations p n junction physics junction and tunnel diodes metal semiconductor contacts metal oxide semiconductor field effect transistor (MOSFET), application specific transistors MOSFET and Fin FET volatile memories SRAM, DRAM; floating gate devices bipolar junction transistor (BJT) principles microwave and power devices"
CET316 Fabrication of Solid-State Electronic Devices,https://www.ntu.edu.sg/pace/programmes/detail/cet316-fabrication-of-solid-state-electronic-devices,Introduction This course aims to teach learner relevant fabrication techniques employed in advanced manufacturing industry This course is part of Graduate Certificate in Precision Instrumentation Mini Master sTM in Precision Instrumentation,On completion of the course the learners will acquire the knowledge and skills on the different advanced fabrication and analytical techniques used in semiconductor processing and will understand the principles behind those techniques,1 Microelectronics device fabrication techniques will be discussed e g physical and chemical vapour deposition lithography implantation etching device metrology metal lisa tion packaging 2 A short project on device microfabrication will be carried out in clean room laboratory Learner will have opportunity to learn the processing skills
CET317 Concepts of Nonlinear Optics,https://www.ntu.edu.sg/pace/programmes/detail/cet317-concepts-of-nonlinear-optics,Introduction This course aims to provide a good fundamental understanding of nonlinear optical phenomena which are the working principles of major photon ic devices and systems This course is part of Graduate Certificate in Precision Instrumentation Mini Master sTM in Precision Instrumentation,On completion of the course the learners will acquire a good understanding of the physics and operation of optical device and systems that commonly available in advanced manufacturing as product or character is ation tools,1 Nonlinear optical s usc ep tibi li ties linear nonlinear optical s usc ep tibi li ties with a focus on propagation and coupling equations in linear and nonlinear media 2 Second order nonlinear optical effects second harmonic generation and phase matching technology sum and difference frequency generation parametric amplification and oscillation quasi phase matching technique and introduction to photon ic crystals 3 Third order nonlinear optical effects four wave interaction and coupling equation four wave mixing and phase conjugation intense beam induced refractive index change e g optical Kerr effect self focusing de focusing self phase modulation nonlinear optical absorption e g two photon absorption satu r able absorption and reverse satu r able absorption electro optic a co us to optics and photo refractive effects
CET318 Principles of Nonlinear Optics Experimental Techniques,https://www.ntu.edu.sg/pace/programmes/detail/cet318-principles-of-nonlinear-optics-experimental-techniques,Introduction This course aims to provide a good fundamental understanding of advanced nonlinear optical phenomena which are the working principles of major photon ic devices and systems as well as optical characterization tools This course is part of Graduate Certificate in Precision Instrumentation Mini Master sTM in Precision Instrumentation,On completion of the course the learners will acquire a good understanding of the experimental techniques of optical device and systems that commonly available in photo nics industry,1 Ultra fast laser and ultra fast nonlinear optics pulsed optics e g short pulse propagation in linear and nonlinear media chirped pulse group velocity dispersion optical elements femtosecond laser pulse generation and mode locking method pulse amplification compression and measurement 2 Experimental techniques for selected advanced optical instrumentation e g pump probe ultra fast optical Kerr gate fluorescence up conversion and streak camera
CET319 Bridging the industry skills,https://www.ntu.edu.sg/pace/programmes/detail/cet319-bridging-the-industry-skills,Introduction 1 To bridge gap between school and work environment by providing necessary skills beyond engineering degree knowledge 2 To prepare engineering learner getting ready for work environment by sharing real industry experience 3 Provide framework for career planning to set learner for success This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of this course learners should be able to 1 equip with fundamental tools and skill sets for engineering career entry 2 appreciate VUCA volatility uncertainty complexity and ambiguity business future nature and business overview and 3 equip with career planning framework and be able to practice into their own career planning,1 How to get buy in s on your ideas boost communication fundamental including stake holder analysis technical writing and presentation skills 2 How to go beyond your boundary build business acumen and have fundamental understanding on necessary company functions 3 Change is a constant gain ability of continuous learning and change management and 4 Long term career planning enable long terms career planning using simple career planning frameworks
CET320 Decision Making through Data Analytics,https://www.ntu.edu.sg/pace/programmes/detail/cet320-decision-making-through-data-analytics,Introduction Data analytics is an important topic in data science to explore and examine data in order to draw conclusions from the information contained in the data This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of this course learners should be able to 1 Develop an understanding of data science and how data analytics plays an important part in it 2 Perform data analytics using basic python programming in J up y ter notebook 3 Understand a wide variety of data analytics tools and 4 Apply basic data analytics on data and draw conclusion from it,1 Introduction to data science and its applications in real world problems 2 Data Exploration Data Cleaning and Pre Processing 3 Introduction of Statistic in Data Analysis 4 Data Mining 5 Introduction of Machine Learning in Data Mining 6 Visualization 7 Data analytics on real data using Python in J up y ter notebook
CET321 Industrial Safety skills and applications,https://www.ntu.edu.sg/pace/programmes/detail/cet321-industrial-safety-skills-and-applications,Introduction This course aims to build the fundamentals necessary to apply Industrial safety skill sets in chemical biological plants to understand and application of practical tools and procedures being deployed in managing risks in chemical and biological plants The intent is also for you to learn about the most deployed safety and engineering information methods This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of this course learners should be able to 1 Assess chemical reactivity incompatibility hazardous exposure at process plants via Identification and management of risks 2 Understand vital engineering drawings critical procedures and safety framework in industries and 3 Recommend safety measures at chemical and biological plants,"1 Lessons learned from Chemical Biological Disasters and Inherent Safety Principles 2 Reading SDS and learning about Chemical Reactivity and Incompatibilities storage and manufacturing 3 Biological Hazards and Industrial Hygiene evaluation and controls 4 Incidents reporting Metrics and Root Cause Investigation 5 Overview of Engineering Drawings and Documents 6 Key Life Protection Procedures Fall Protection Hot Work LOTO, PPE, Confined Space and Emergency Response"
CET322 Innovations through Design Thinking,https://www.ntu.edu.sg/pace/programmes/detail/cet322-innovations-through-design-thinking,Introduction Design Thinking is an iterative process focusing on user needs in order to design and develop better products Using a Design Thinking approach innovators are taught to challenge assumptions and redefine problems which may reveal alternative strategies and solutions that are not immediately apparent with a surface understanding Consequently many of the Worlds leading brands are now adopting design thinking approaches to innovation This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Design Thinking is an iterative process aimed at understanding the user and challenging assumptions in order to redefine problems In the process of doing so practitioners seek to uncover insights in order to identify innovative solutions that were initially not apparent with a superficial level of understanding As such Design Thinking is particularly useful for tackling wicked problems This course aims to introduce participants to the tool kits employed in the Design Thinking through the five phases of Emp a this e Define Idea te Prototype and Test,1 Defining and Character ising a need 2 Recognise the importance of stake holder engagements 3 Performing user validations of needs 4 Brainstorming as a tool for Idea Generation 5 The role of prototyping in design 6 Forming hypotheses and developing appropriate tests
CET323 Develop your Success in Engineering Career,https://www.ntu.edu.sg/pace/programmes/detail/cet323-develop-your-success-in-engineering-career,Introduction This short course series is designed to prepare fresh graduates to be ready to face challenges in their new jobs upon graduating The objective of this consolidated series of lectures is to help to bridge the gap between academic knowledge attained and industry expectations for the fresh graduates It prepares students for the next big challenges in life starting from first job interview This course will motivate you to be more confident in your job search and will help you to settle in your early days in the industry as fresh graduate Various live examples and class interactions will be used to aid this learning Based on the availability some guest speakers may be invited to some sessions This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of course learner should be able to 1 research and identify career path of choice with better understanding 2 carve out a career path even if not able to secure a job of their interest 3 write their resume for job application 4 understand and overcome potential pitfalls in early career phase and 5 apply basic knowledge of Value Engineering QA/QC and Process Engineering in their future jobs,1 Planning for Long Term career path avoiding pit falls researching industry approaching industry leaders to seek guidance etc 2 Securing and managing job interviews and negotiating salary in current situations 3 Preparing for your first job understanding cultures office politics systems etc 4 Communication for Engineers in day to day life importance pit falls solutions approach etc 5 Value Engineering in projects Understanding concepts implementing on projects recording and follow up ideas closing out the final reports
CET324 From Engineering to Project Management,https://www.ntu.edu.sg/pace/programmes/detail/cet324-from-engineering-to-project-management,Introduction Project management is the process of leading the work of a team towards achieving goals in a specified time As engineering projects become increasingly complex good project management skills become critical towards a successful outcome This is particularly true for multidisciplinary projects as often encountered in the Health and Biomedical sector where various considerations such as regulatory requirements reimbursement systems and clinical factors contribute towards project risks It has thus become integral for engineers to equip themselves with project management tools in order to increase effectiveness and productivity This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of course learner should be able to 1 describe the key stages Initiation Planning Executing Monitoring and Control Closing in project management 2 explain the unique project management challenges in the Health and Biomedical Sector and 3 identify suitable study tracks for further study of the subject,1 Overview of Project management 2 What is a project 3 Introduction to Initiating a New Project 4 Introduction to Planning for a Project 5 Introduction to Project Execution 6 Introduction to Monitoring and Control 7 Introduction to Closing a Project
CET325 Six Sigma for Engineers,https://www.ntu.edu.sg/pace/programmes/detail/cet325-six-sigma-for-engineers,Introduction Six Sigma is a practice commonly employed in manufacturing to improve the efficiency and drives innovations Six Sigma is particularly useful for process engineers systems engineers and design engineers to improve the processes operations and products The objective of the course is to allow learners to recognize the benefits of Six Sigma and introduce the terminologies and methodologies used in Six Sigma The course also serves to provide a first step towards Yellow Belt Six Sigma certification This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of course learner should be able to 1 Use the concept of Six Sigma for evaluation 2 Recognize the five step D-M-A-I-C model and 3 Apply Six Sigma concepts and methodologies for improvement,Six Sigma is a concept applied in the industry to make use of a set of qualitative and quantitative techniques to improve processes It is particularly important for solving problems involved in manufacturing and engineering sectors Process improvement will be executed systematically by Define Measure Analyze Improve and Control (DMAIC) phases In this course students will be learning the concept of Six Sigma by going through the DMAIC phases in examples and project Six Sigma basics DMA IC model Analyzing data Six Sigma examples Project
CET326 Machine Learning with Python,https://www.ntu.edu.sg/pace/programmes/detail/cet326-machine-learning-with-python,Introduction Machine learning is an important topic in data science to train machines based on big data in order to predict future outcomes results This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices,Upon completion of course learner should be able to 1 develop an understanding of data science and how machine learning plays an important part in it 2 Perform basic python programming in J up y ter notebook for data science applications 3 Understand a wide variety of machine learning algorithms and tools and 4 Apply basic machine learning algorithms and tools to extract inferential information from data and report on the expected accuracy in prediction for applying the models,1 Introduction to data science and its applications in real world problems 2 Machine learning in data science 3 Basic Python Programming 4 Data science using Python in J up y ter notebook 5 Machine Learning Approach 1 Linear Regression 6 Machine Learning Approach 2 Classification 7 Machine Learning Approach 3 Clustering 8 Machine Learning Approach 4 Anomaly Detection 9 Application of algorithms from the above four approaches on real data using python in J up y ter notebook
CET327 Process Engineering in Chemical Process Industry (CPI),https://www.ntu.edu.sg/pace/programmes/detail/cet327-process-engineering-in-chemical-process-industry-(cpi),"Introduction This is part of short course series designed to prepare upgrade skills of fresh graduates and early engineering working professionals in C PI Objective of this module is to develop skills in Process Engineering of students graduating from Engineering Department This course will equip learners to understand concepts applicable for CPI; Chemical Process Industry which includes O&G, Refinery Chemical Pharmaceutical Semi Conductor construction related process engineering role in the industry It will also help to bridge the gap between academic knowledge attained and industry expectations for the fresh graduates This course is part of Graduate Certificate in Professional Chemical and Biomedical Engineering Practices Mini Master sTM in Professional Chemical and Biomedical Engineering Practices",Upon completion of course learner should be able to 1 Have better understanding of Chemical Process Industry C PI 2 Understand the project life cycle and their roles and responsibilities at various stages of the project or operations 3 Contribute to their jobs with the knowledge attained and 4 Improve productivity and efficiency of their work by minimizing re work with better understanding of the concepts,"1 Introduction to CPI, understand project life cycle various concepts and project phases concept FEED, EP C 2 Chemical Engineers roles responsibilities in CPI various areas such as projects manufacturing and operations 3 Interface of process engineering with other disciplines 4 Reviews change management document management concepts and communication for process engineering 5 Concepts of process optimization value engineering efficiency and productivity approach in process engineering"
